unidade_id,grupamento,vagas,referencia
0208801,maternal_2,36,2025-07-11
0208803,maternal_1,40,2025-07-11
0208803,maternal_2,40,2025-07-11
0209601,bercario,80,2025-07-11
0209601,maternal_1,40,2025-07-11
0209601,maternal_2,20,2025-07-11
0209602,bercario,50,2025-07-11
0209602,maternal_1,50,2025-07-11
0209602,maternal_2,50,2025-07-11
0209603,bercario,25,2025-07-11
0209603,maternal_1,25,2025-07-11
0209603,maternal_2,25,2025-07-11
0209604,bercario,18,2025-07-11
0209604,maternal_1,23,2025-07-11
0209604,maternal_2,18,2025-07-11
0209605,bercario,50,2025-07-11
0209605,maternal_1,23,2025-07-11
0209605,maternal_2,23,2025-07-11
0209606,bercario,20,2025-07-11
0209606,maternal_1,33,2025-07-11
0209606,maternal_2,35,2025-07-11
0209607,bercario,25,2025-07-11
0209607,maternal_1,25,2025-07-11
0209607,maternal_2,25,2025-07-11
0209608,bercario,50,2025-07-11
0209608,maternal_1,50,2025-07-11
0209608,maternal_2,25,2025-07-11
0209609,bercario,44,2025-07-11
0209609,maternal_1,44,2025-07-11
0209609,maternal_2,44,2025-07-11
0209610,bercario,25,2025-07-11
0209610,maternal_1,47,2025-07-11
0209610,maternal_2,50,2025-07-11
0209803,maternal_1,25,2025-07-11
0209803,maternal_1,25,2025-07-11
0209803,maternal_2,50,2025-07-11
0209803,maternal_2,50,2025-07-11
0209804,maternal_2,25,2025-07-11
0227601,maternal_2,25,2025-07-11
0227602,maternal_2,16,2025-07-11
0227801,bercario,50,2025-07-11
0227801,maternal_1,50,2025-07-11
0227801,maternal_2,50,2025-07-11
0312502,bercario,50,2025-07-11
0312502,maternal_1,50,2025-07-11
0312502,maternal_2,75,2025-07-11
0312601,bercario,50,2025-07-11
0312601,maternal_1,50,2025-07-11
0312601,maternal_2,50,2025-07-11
0312602,bercario,25,2025-07-11
0312602,maternal_1,25,2025-07-11
0312602,maternal_2,50,2025-07-11
0312603,bercario,50,2025-07-11
0312603,maternal_1,46,2025-07-11
0312603,maternal_2,50,2025-07-11
0312801,bercario,25,2025-07-11
0312801,maternal_1,50,2025-07-11
0312801,maternal_2,50,2025-07-11
0312802,maternal_1,25,2025-07-11
0312802,maternal_2,73,2025-07-11
0312803,maternal_1,25,2025-07-11
0312803,maternal_2,50,2025-07-11
0312804,bercario,25,2025-07-11
0312804,maternal_1,50,2025-07-11
0312804,maternal_2,50,2025-07-11
0312805,bercario,25,2025-07-11
0312805,maternal_1,50,2025-07-11
0312805,maternal_2,71,2025-07-11
0312806,bercario,25,2025-07-11
0312806,maternal_1,25,2025-07-11
0312806,maternal_2,25,2025-07-11
0312809,bercario,25,2025-07-11
0312809,maternal_1,50,2025-07-11
0312809,maternal_2,50,2025-07-11
0312810,maternal_1,25,2025-07-11
0312810,maternal_2,25,2025-07-11
0312812,bercario,50,2025-07-11
0312812,maternal_1,46,2025-07-11
0312812,maternal_2,50,2025-07-11
0312813,bercario,50,2025-07-11
0312813,maternal_1,75,2025-07-11
0312813,maternal_2,75,2025-07-11
0313601,bercario,25,2025-07-11
0313601,maternal_1,25,2025-07-11
0313601,maternal_2,23,2025-07-11
0313602,bercario,25,2025-07-11
0313602,maternal_1,50,2025-07-11
0313602,maternal_2,50,2025-07-11
0313603,bercario,50,2025-07-11
0313603,maternal_1,25,2025-07-11
0313603,maternal_2,25,2025-07-11
0313604,bercario,25,2025-07-11
0313604,maternal_1,50,2025-07-11
0313604,maternal_2,50,2025-07-11
0313606,bercario,23,2025-07-11
0313606,maternal_1,50,2025-07-11
0313606,maternal_2,25,2025-07-11
0313607,bercario,50,2025-07-11
0313607,maternal_1,75,2025-07-11
0313607,maternal_2,75,2025-07-11
0313608,bercario,50,2025-07-11
0313608,maternal_1,50,2025-07-11
0313608,maternal_2,50,2025-07-11
0313609,bercario,50,2025-07-11
0313609,maternal_1,50,2025-07-11
0313609,maternal_2,50,2025-07-11
0313610,bercario,50,2025-07-11
0313610,maternal_1,50,2025-07-11
0313610,maternal_2,50,2025-07-11
0313611,bercario,47,2025-07-11
0313611,maternal_1,50,2025-07-11
0313611,maternal_2,50,2025-07-11
0313612,bercario,50,2025-07-11
0313612,maternal_1,42,2025-07-11
0313612,maternal_2,50,2025-07-11
0313801,bercario,24,2025-07-11
0313801,maternal_1,24,2025-07-11
0313801,maternal_2,49,2025-07-11
0313802,bercario,25,2025-07-11
0313802,maternal_1,25,2025-07-11
0313802,maternal_2,25,2025-07-11
0313804,maternal_1,20,2025-07-11
0313804,maternal_2,20,2025-07-11
0313805,maternal_1,25,2025-07-11
0313805,maternal_2,25,2025-07-11
0313806,maternal_2,25,2025-07-11
0313809,maternal_1,45,2025-07-11
0313809,maternal_2,50,2025-07-11
0328601,maternal_1,33,2025-07-11
0328601,maternal_2,45,2025-07-11
0328602,bercario,23,2025-07-11
0328602,maternal_1,25,2025-07-11
0328602,maternal_2,50,2025-07-11
0328604,bercario,50,2025-07-11
0328604,maternal_1,50,2025-07-11
0328604,maternal_2,50,2025-07-11
0328801,bercario,25,2025-07-11
0328801,maternal_1,25,2025-07-11
0328801,maternal_2,25,2025-07-11
0329801,bercario,25,2025-07-11
0329801,maternal_1,50,2025-07-11
0329801,maternal_2,50,2025-07-11
0330601,bercario,25,2025-07-11
0330601,maternal_1,25,2025-07-11
0330601,maternal_2,25,2025-07-11
0330602,bercario,50,2025-07-11
0330602,maternal_1,50,2025-07-11
0330602,maternal_2,50,2025-07-11
0410601,maternal_1,25,2025-07-11
0410601,maternal_2,25,2025-07-11
0410602,maternal_2,25,2025-07-11
0410603,maternal_1,50,2025-07-11
0410603,maternal_2,50,2025-07-11
0410801,bercario,50,2025-07-11
0410801,bercario,50,2025-07-11
0410801,maternal_1,50,2025-07-11
0410801,maternal_1,50,2025-07-11
0410801,maternal_2,25,2025-07-11
0410801,maternal_2,25,2025-07-11
0410802,bercario,25,2025-07-11
0410802,maternal_1,25,2025-07-11
0410802,maternal_2,25,2025-07-11
0410803,maternal_1,25,2025-07-11
0410803,maternal_2,50,2025-07-11
0410804,maternal_2,23,2025-07-11
0410805,bercario,25,2025-07-11
0410805,maternal_1,25,2025-07-11
0410805,maternal_2,25,2025-07-11
0410807,bercario,25,2025-07-11
0410807,maternal_1,25,2025-07-11
0410807,maternal_2,25,2025-07-11
0410808,bercario,50,2025-07-11
0410808,maternal_1,50,2025-07-11
0410808,maternal_2,50,2025-07-11
0410810,maternal_2,50,2025-07-11
0411601,bercario,50,2025-07-11
0411601,maternal_1,25,2025-07-11
0411601,maternal_2,25,2025-07-11
0411602,bercario,25,2025-07-11
0411602,maternal_1,25,2025-07-11
0411602,maternal_2,25,2025-07-11
0411603,bercario,50,2025-07-11
0411603,maternal_1,43,2025-07-11
0411603,maternal_2,25,2025-07-11
0411604,maternal_2,25,2025-07-11
0411605,bercario,15,2025-07-11
0411605,maternal_1,15,2025-07-11
0411605,maternal_2,30,2025-07-11
0411607,maternal_2,22,2025-07-11
0411609,maternal_2,25,2025-07-11
0411801,bercario,25,2025-07-11
0411801,maternal_1,50,2025-07-11
0411801,maternal_2,50,2025-07-11
0411802,bercario,50,2025-07-11
0411802,maternal_1,25,2025-07-11
0411802,maternal_2,50,2025-07-11
0411803,bercario,25,2025-07-11
0411803,bercario,25,2025-07-11
0411803,maternal_1,25,2025-07-11
0411803,maternal_1,25,2025-07-11
0411803,maternal_2,25,2025-07-11
0411803,maternal_2,25,2025-07-11
0411804,maternal_2,25,2025-07-11
0430601,maternal_2,50,2025-07-11
0430602,bercario,25,2025-07-11
0430602,maternal_1,25,2025-07-11
0430602,maternal_2,25,2025-07-11
0430603,bercario,25,2025-07-11
0430603,maternal_1,25,2025-07-11
0430603,maternal_2,25,2025-07-11
0430604,maternal_1,25,2025-07-11
0430604,maternal_2,25,2025-07-11
0430605,maternal_1,25,2025-07-11
0430605,maternal_2,25,2025-07-11
0430607,maternal_1,44,2025-07-11
0430607,maternal_2,19,2025-07-11
0430801,bercario,17,2025-07-11
0430801,maternal_1,18,2025-07-11
0430801,maternal_2,25,2025-07-11
0430802,maternal_1,50,2025-07-11
0430802,maternal_2,75,2025-07-11
0430803,maternal_1,50,2025-07-11
0430803,maternal_2,50,2025-07-11
0430805,bercario,25,2025-07-11
0430805,bercario,25,2025-07-11
0430805,maternal_1,25,2025-07-11
0430805,maternal_1,25,2025-07-11
0430805,maternal_2,25,2025-07-11
0430805,maternal_2,25,2025-07-11
0430806,maternal_1,25,2025-07-11
0430806,maternal_1,25,2025-07-11
0430806,maternal_2,50,2025-07-11
0430806,maternal_2,50,2025-07-11
0430807,bercario,50,2025-07-11
0430807,maternal_1,50,2025-07-11
0430807,maternal_2,50,2025-07-11
0430809,bercario,25,2025-07-11
0430809,maternal_1,25,2025-07-11
0430809,maternal_2,75,2025-07-11
0430810,bercario,25,2025-07-11
0430810,maternal_1,75,2025-07-11
0430810,maternal_2,50,2025-07-11
0430811,bercario,25,2025-07-11
0430811,maternal_1,50,2025-07-11
0430811,maternal_2,75,2025-07-11
0430812,maternal_1,25,2025-07-11
0430812,maternal_2,50,2025-07-11
0430813,maternal_1,25,2025-07-11
0430813,maternal_2,50,2025-07-11
0430815,bercario,25,2025-07-11
0430815,maternal_1,25,2025-07-11
0430815,maternal_2,25,2025-07-11
0431601,maternal_2,25,2025-07-11
0431602,bercario,50,2025-07-11
0431602,maternal_1,75,2025-07-11
0431602,maternal_2,75,2025-07-11
0431603,bercario,25,2025-07-11
0431603,maternal_1,50,2025-07-11
0431603,maternal_2,50,2025-07-11
0431604,bercario,25,2025-07-11
0431604,maternal_1,25,2025-07-11
0431604,maternal_2,45,2025-07-11
0431605,bercario,25,2025-07-11
0431605,maternal_1,50,2025-07-11
0431605,maternal_2,25,2025-07-11
0431606,maternal_1,50,2025-07-11
0431606,maternal_2,75,2025-07-11
0431607,maternal_1,25,2025-07-11
0431607,maternal_2,25,2025-07-11
0431608,maternal_2,25,2025-07-11
